code,name,year_founded
002739,万达电影,2005
900918,耀皮B股,1993
002164,宁波东力,1998
000036,华联控股,1994
002692,睿康股份,2001
600653,申华控股,1986
000695,滨海能源,1992
600219,南山铝业,1989
002631,德尔未来,2004
002650,加加食品,1996
600358,国旅联合,1998
002618,丹邦科技,2001
603366,日出东方,1997
601969,海南矿业,2007
600177,雅戈尔,1993
600565,迪马股份,1997
600295,鄂尔多斯,1995
900956,东贝B股,1999
000410,沈阳机床,1993
000420,吉林化纤,1993
601958,金钼股份,2007
000018,神州长城,1984
000920,南方汇通,1999
000848,承德露露,1997
600348,阳泉煤业,1999
000002,万科A,1984
300139,晓程科技,2000
002563,森马服饰,2002
600859,王府井,1993
300080,易成新能,1997
000550,江铃汽车,1993
300403,地尔汉宇,2002
002146,荣盛发展,2003
300251,光线传媒,2000
603088,宁波精达,2002
600132,重庆啤酒,1993
600708,光明地产,1993
900945,海控B股,1989
600602,云赛智联,1987
300284,苏交科,2002
000655,*ST金岭,1989
300214,日科化学,2003
300203,聚光科技,2002
603609,禾丰牧业,2003
002538,司尔特,1997
002171,楚江新材,2002
002204,大连重工,1993
600759,洲际油气,1984
600090,同济堂,1993
600011,华能国际,1994
000923,河北宣工,1999
000676,智度股份,1996
603619,中曼石油,2003
002398,建研集团,2004
200168,舜喆B,1997
000862,银星能源,1998
000850,华茂股份,1998
002232,启明信息,2000
603025,大豪科技,2000
600029,南方航空,1995
600741,华域汽车,1992
000623,吉林敖东,1993
900919,绿庭B股,1993
600489,中金黄金,2000
600369,西南证券,1990
601137,博威合金,1993
002354,天神娱乐,2003
600036,招商银行,1987
000631,顺发恒业,1993
002118,紫鑫药业,1998
000612,焦作万方,1993
000877,天山股份,1998
600059,古越龙山,1994
600826,兰生股份,1993
002322,理工环科,2000
000863,三湘印象,1994
000875,吉电股份,1993
002659,凯文教育,1999
002361,神剑股份,2002
000583,S*ST托普,1987
300400,劲拓股份,2004
603729,龙韵股份,2003
200725,京东方B,1993
002401,中远海科,1993
002125,湘潭电化,2000
603686,龙马环卫,2007
002071,长城影视,1999
200570,苏常柴B,1994
600149,ST坊展,1993
000929,兰州黄河,1993
300222,科大智能,2002
600191,华资实业,1998
600250,南纺股份,1992
002028,思源电气,1993
002594,比亚迪,1995
